city,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
heihe,2019-01-01,优,42,85,13,25,13,10,0.44,70
heihe,2019-01-02,优,37,55,9,19,9,7,0.44,71
heihe,2019-01-03,优,50,97,22,49,27,20,0.81,47
heihe,2019-01-04,优,50,110,24,52,13,18,0.86,36
heihe,2019-01-05,优,40,77,14,39,12,12,0.70,55
heihe,2019-01-06,优,45,93,20,47,16,15,0.76,51
heihe,2019-01-07,良,56,111,24,63,22,19,0.98,35
heihe,2019-01-08,优,33,59,10,30,18,9,0.60,59
heihe,2019-01-09,优,36,75,12,33,18,13,0.56,50
heihe,2019-01-10,优,42,107,18,43,13,16,0.62,49
heihe,2019-01-11,良,57,139,27,63,25,25,0.88,33
heihe,2019-01-12,良,51,97,25,55,12,19,0.73,34
heihe,2019-01-13,优,42,54,15,42,10,12,0.60,39
heihe,2019-01-14,良,55,78,25,61,22,18,0.80,30
heihe,2019-01-15,优,34,28,11,29,12,8,0.52,57
heihe,2019-01-16,优,41,64,15,40,9,6,0.54,54
heihe,2019-01-17,优,36,25,13,34,10,7,0.54,57
heihe,2019-01-18,优,49,54,23,53,26,20,0.81,43
heihe,2019-01-19,优,46,54,20,48,14,14,0.70,44
heihe,2019-01-20,优,39,45,15,39,14,12,0.65,51
heihe,2019-01-21,优,49,82,22,53,24,19,0.85,36
heihe,2019-01-22,良,60,77,33,69,19,27,0.99,21
heihe,2019-01-23,优,36,18,14,35,10,9,0.58,52
heihe,2019-01-24,优,39,19,14,38,8,8,0.56,54
heihe,2019-01-25,优,36,23,13,35,9,9,0.57,59
heihe,2019-01-26,优,45,55,19,46,22,16,0.75,49
heihe,2019-01-27,良,55,69,26,60,14,19,0.87,39
heihe,2019-01-28,优,38,11,17,40,13,13,0.71,49
heihe,2019-01-29,良,54,82,28,62,23,18,0.97,39
heihe,2019-01-30,优,47,63,17,48,9,7,0.63,45
heihe,2019-01-31,优,36,33,14,35,9,8,0.60,50
heihe,2019-02-01,优,43,74,19,44,15,15,0.77,40
heihe,2019-02-02,良,56,89,28,63,25,16,0.83,37
heihe,2019-02-03,优,47,61,16,48,12,9,0.65,49
heihe,2019-02-04,优,46,57,25,48,20,10,0.74,46
heihe,2019-02-05,优,48,34,25,51,13,7,0.57,50
heihe,2019-02-06,优,34,21,16,32,10,7,0.46,52
heihe,2019-02-07,优,38,75,19,35,10,9,0.51,52
heihe,2019-02-08,优,36,103,15,27,11,10,0.46,60
heihe,2019-02-09,优,37,92,14,27,13,7,0.39,65
heihe,2019-02-10,优,36,101,15,26,11,9,0.46,63
heihe,2019-02-11,优,32,61,12,23,10,9,0.48,60
heihe,2019-02-12,优,38,73,16,26,11,11,0.54,63
heihe,2019-02-13,优,34,59,12,19,8,7,0.43,66
heihe,2019-02-14,优,33,55,14,20,11,9,0.47,63
heihe,2019-02-15,优,33,67,14,26,10,10,0.53,60
heihe,2019-02-16,优,35,67,8,17,7,4,0.44,70
heihe,2019-02-17,优,39,97,11,22,9,6,0.44,74
heihe,2019-02-18,优,43,140,19,43,22,13,0.63,53
heihe,2019-02-19,良,74,198,46,79,19,14,0.56,55
heihe,2019-02-20,优,46,90,19,48,16,11,0.61,48
heihe,2019-02-21,优,38,75,17,37,12,12,0.56,53
heihe,2019-02-22,优,37,69,13,35,10,10,0.53,56
heihe,2019-02-23,优,44,87,20,47,22,13,0.64,54
heihe,2019-02-24,优,38,73,13,34,8,4,0.44,66
heihe,2019-02-25,优,32,28,10,22,8,6,0.46,62
heihe,2019-02-26,优,32,19,12,23,14,7,0.51,60
heihe,2019-02-27,良,98,267,71,101,15,14,0.82,67
heihe,2019-02-28,优,46,84,27,45,17,16,0.65,56
heihe,2019-03-01,优,38,45,13,25,10,10,0.52,66
heihe,2019-03-02,优,50,127,25,52,12,15,0.71,53
heihe,2019-03-03,优,46,109,25,45,19,13,0.65,62
heihe,2019-03-04,优,44,53,22,45,13,12,0.67,59
heihe,2019-03-05,优,39,59,14,34,9,5,0.48,73
heihe,2019-03-06,优,40,91,12,30,9,7,0.52,74
heihe,2019-03-07,优,39,76,13,29,13,10,0.58,66
heihe,2019-03-08,优,48,88,15,52,16,10,0.64,59
heihe,2019-03-09,优,48,104,13,42,11,6,0.42,79
heihe,2019-03-10,优,46,92,16,44,23,11,0.55,56
heihe,2019-03-11,优,42,35,16,40,11,9,0.56,61
heihe,2019-03-12,优,39,16,9,33,9,4,0.45,71
heihe,2019-03-13,优,37,12,13,26,7,6,0.45,71
heihe,2019-03-14,优,38,20,11,24,7,7,0.45,76
heihe,2019-03-15,优,45,61,15,31,8,9,0.48,79
heihe,2019-03-16,优,47,50,20,44,12,12,0.57,69
heihe,2019-03-17,优,47,55,13,31,17,12,0.57,80
heihe,2019-03-18,优,46,49,15,41,9,11,0.55,80
heihe,2019-03-19,优,48,47,12,46,6,10,0.52,69
heihe,2019-03-20,优,45,36,12,32,8,8,0.51,86
heihe,2019-03-21,优,41,47,10,26,7,6,0.52,82
heihe,2019-03-22,优,42,104,9,20,7,5,0.45,82
heihe,2019-03-23,优,41,117,14,18,11,6,0.52,80
heihe,2019-03-24,良,59,173,39,61,9,11,0.65,74
heihe,2019-03-25,良,64,183,41,65,8,13,0.72,71
heihe,2019-03-26,优,40,24,10,24,8,5,0.46,77
heihe,2019-03-27,优,40,25,9,22,6,5,0.49,78
heihe,2019-03-28,优,40,35,9,18,6,6,0.47,78
heihe,2019-03-29,优,39,25,11,19,7,8,0.42,77
heihe,2019-03-30,优,44,49,21,33,7,10,0.42,75
heihe,2019-03-31,优,41,45,14,26,7,7,0.36,78
heihe,2019-04-01,优,41,52,15,31,7,7,0.37,82
heihe,2019-04-02,良,58,197,30,45,7,11,0.44,90
heihe,2019-04-03,优,50,134,26,50,11,14,0.45,78
heihe,2019-04-04,优,49,117,21,40,7,11,0.45,87
heihe,2019-04-05,优,47,100,13,34,8,8,0.43,90
heihe,2019-04-06,优,43,40,9,22,7,6,0.40,85
heihe,2019-04-07,优,43,49,8,21,8,6,0.39,85
heihe,2019-04-08,优,46,67,14,27,7,7,0.39,89
heihe,2019-04-09,优,48,163,10,19,6,8,0.37,90
heihe,2019-04-10,优,42,94,9,24,7,7,0.36,84
heihe,2019-04-11,优,44,120,9,20,10,8,0.39,87
heihe,2019-04-12,优,48,117,11,40,11,8,0.41,89
heihe,2019-04-13,优,47,89,11,25,8,8,0.39,89
heihe,2019-04-14,优,45,79,10,22,12,6,0.38,88
heihe,2019-04-15,优,46,76,13,36,18,10,0.45,89
heihe,2019-04-16,良,58,153,15,55,9,8,0.43,97
heihe,2019-04-17,优,44,36,7,27,6,7,0.42,85
heihe,2019-04-18,优,48,64,10,46,8,6,0.38,85
heihe,2019-04-19,优,41,43,9,26,8,6,0.39,76
heihe,2019-04-20,优,50,96,10,60,9,8,0.42,69
heihe,2019-04-21,优,40,40,10,28,7,8,0.38,77
heihe,2019-04-22,优,42,83,11,38,7,8,0.40,71
heihe,2019-04-23,优,40,53,14,38,6,9,0.46,70
heihe,2019-04-24,优,40,41,9,26,6,7,0.38,76
heihe,2019-04-25,优,37,33,10,22,7,8,0.38,70
heihe,2019-04-26,优,40,34,13,32,8,9,0.40,73
heihe,2019-04-27,优,42,62,11,38,12,12,0.41,68
heihe,2019-04-28,良,55,201,15,57,8,14,0.49,69
heihe,2019-04-29,良,60,241,20,69,10,12,0.52,79
heihe,2019-04-30,优,48,142,14,44,10,10,0.52,76
heihe,2019-05-01,优,42,66,8,27,6,7,0.37,84
heihe,2019-05-02,优,41,35,11,28,10,9,0.47,76
heihe,2019-05-03,良,53,84,12,58,8,8,0.46,78
heihe,2019-05-04,优,45,46,17,31,7,5,0.41,84
heihe,2019-05-05,优,42,82,20,37,9,6,0.46,80
heihe,2019-05-06,优,41,96,16,25,9,8,0.47,78
heihe,2019-05-07,优,43,86,15,36,9,10,0.46,72
heihe,2019-05-08,优,39,71,15,34,6,9,0.45,65
heihe,2019-05-09,优,38,55,8,17,6,5,0.38,73
heihe,2019-05-10,优,40,30,10,42,7,12,0.42,63
heihe,2019-05-11,优,39,13,10,34,13,8,0.40,72
heihe,2019-05-12,优,46,32,13,47,9,11,0.49,74
heihe,2019-05-13,良,59,136,23,57,11,12,0.58,90
heihe,2019-05-14,优,42,37,11,31,6,9,0.44,72
heihe,2019-05-15,优,36,42,8,25,6,8,0.36,71
heihe,2019-05-16,轻度污染,111,322,22,155,7,7,0.30,69
heihe,2019-05-17,优,46,114,9,43,9,5,0.27,75
heihe,2019-05-18,优,38,36,8,32,9,5,0.27,71
heihe,2019-05-19,优,37,38,9,36,6,7,0.30,55
heihe,2019-05-20,优,31,9,6,17,5,9,0.37,52
heihe,2019-05-21,优,26,6,7,18,5,7,0.39,52
heihe,2019-05-22,优,27,4,7,16,5,5,0.30,51
heihe,2019-05-23,优,32,12,8,22,6,7,0.33,63
heihe,2019-05-24,优,47,37,12,37,7,11,0.41,92
heihe,2019-05-25,优,36,32,10,24,8,9,0.29,67
heihe,2019-05-26,优,32,56,9,24,7,9,0.31,55
heihe,2019-05-27,优,31,35,7,22,6,7,0.30,62
heihe,2019-05-28,优,29,20,6,16,5,5,0.30,55
heihe,2019-05-29,优,28,25,9,21,4,8,0.37,46
heihe,2019-05-30,优,25,9,7,16,5,5,0.40,48
heihe,2019-05-31,优,24,3,7,17,5,5,0.34,48
heihe,2019-06-01,优,29,22,6,19,6,5,0.34,60
heihe,2019-06-02,优,31,32,9,26,8,9,0.37,56
heihe,2019-06-03,优,30,22,7,24,6,7,0.38,48
heihe,2019-06-04,优,39,37,9,32,8,9,0.37,49
heihe,2019-06-05,优,36,51,9,31,4,8,0.31,67
heihe,2019-06-06,优,43,143,11,32,5,8,0.30,79
heihe,2019-06-07,优,39,94,11,33,5,10,0.34,67
heihe,2019-06-08,优,40,108,11,38,5,11,0.37,58
heihe,2019-06-09,优,48,164,12,50,6,8,0.31,68
heihe,2019-06-10,优,46,152,11,42,5,9,0.33,74
heihe,2019-06-11,优,37,87,8,27,5,7,0.30,69
heihe,2019-06-14,优,24,39,8,24,4,11,0.41,19
heihe,2019-06-15,优,25,64,8,23,5,7,0.31,42
heihe,2019-06-17,优,24,36,9,24,5,7,0.40,66
heihe,2019-06-18,优,25,73,7,24,6,8,0.40,51
heihe,2019-06-19,优,30,115,9,30,6,5,0.35,47
heihe,2019-06-20,优,23,58,9,22,4,8,0.41,45
heihe,2019-06-25,优,24,19,8,19,6,7,0.39,46
heihe,2019-06-26,优,25,23,9,23,7,7,0.37,44
heihe,2019-06-27,优,26,23,8,20,5,6,0.35,41
heihe,2019-06-28,优,24,15,7,21,5,6,0.32,44
heihe,2019-06-29,优,26,24,9,25,4,8,0.37,37
heihe,2019-06-30,优,30,38,10,26,6,8,0.38,53
heihe,2019-07-01,优,39,97,12,35,7,10,0.41,61
heihe,2019-07-02,优,30,33,10,27,8,11,0.43,49
heihe,2019-07-03,优,31,48,9,25,6,9,0.40,56
heihe,2019-07-04,优,32,73,10,25,9,10,0.43,48
heihe,2019-07-05,优,22,10,7,18,4,9,0.44,39
heihe,2019-07-06,优,25,31,9,23,5,10,0.48,31
heihe,2019-07-07,优,31,66,12,29,5,7,0.59,53
heihe,2019-07-12,优,28,70,10,27,6,9,0.50,72
heihe,2019-07-13,优,28,79,13,28,6,6,0.42,64
heihe,2019-07-14,优,28,73,12,28,6,8,0.47,55
heihe,2019-07-15,优,29,72,13,29,7,7,0.48,44
heihe,2019-07-16,优,24,45,10,22,6,6,0.45,62
heihe,2019-07-17,优,26,58,11,20,5,7,0.45,73
heihe,2019-07-18,优,27,85,14,27,6,8,0.44,46
heihe,2019-07-19,优,32,132,13,32,9,8,0.42,44
heihe,2019-07-20,优,38,177,15,39,6,7,0.58,59
heihe,2019-07-21,优,35,117,16,36,6,7,0.58,58
heihe,2019-07-22,优,31,114,13,31,6,6,0.51,51
heihe,2019-07-23,优,25,59,11,25,5,5,0.41,21
heihe,2019-07-24,优,31,119,12,31,5,6,0.42,22
heihe,2019-07-25,优,29,96,9,29,4,5,0.38,18
heihe,2019-07-26,优,32,109,11,32,6,6,0.40,21
heihe,2019-08-06,优,38,140,8,39,6,6,0.51,32
heihe,2019-08-07,良,55,255,19,59,6,10,0.54,35
heihe,2019-08-08,优,47,200,18,47,7,7,0.54,29
heihe,2019-08-09,优,31,90,18,30,7,7,0.52,41
heihe,2019-08-10,优,42,195,19,42,6,9,0.56,27
heihe,2019-08-11,优,40,182,19,39,5,7,0.55,37
heihe,2019-08-21,优,14,2,7,13,5,4,0.36,29
heihe,2019-08-22,优,14,2,6,13,5,8,0.39,30
heihe,2019-08-23,优,17,13,8,16,5,8,0.35,26
heihe,2019-08-24,优,19,14,8,18,7,7,0.33,22
heihe,2019-08-25,优,26,44,10,25,8,11,0.33,28
heihe,2019-08-26,优,28,60,8,27,7,13,0.38,29
heihe,2019-08-27,优,15,1,6,15,4,7,0.35,29
heihe,2019-08-28,优,16,3,6,16,4,6,0.26,34
heihe,2019-09-01,优,21,18,8,21,6,9,0.25,37
heihe,2019-09-02,优,24,71,8,23,7,9,0.24,31
heihe,2019-09-03,优,26,55,8,26,5,13,0.30,23
heihe,2019-09-04,优,34,106,11,35,7,14,0.42,35
heihe,2019-09-05,优,45,208,14,47,5,11,0.40,29
heihe,2019-09-06,优,23,39,7,22,6,8,0.31,39
heihe,2019-09-07,优,35,85,7,35,7,12,0.48,43
heihe,2019-09-08,优,33,73,6,29,6,8,0.54,63
heihe,2019-09-09,优,24,45,11,24,9,6,0.22,40
heihe,2019-09-10,优,22,70,8,22,7,9,0.29,24
heihe,2019-09-11,优,27,101,9,28,6,12,0.35,30
heihe,2019-09-12,优,34,144,8,34,10,12,0.30,40
heihe,2019-09-13,优,23,45,8,23,7,10,0.39,40
heihe,2019-09-14,优,23,68,9,24,7,12,0.29,32
heihe,2019-09-15,优,23,45,10,21,8,7,0.23,57
heihe,2019-09-16,优,23,39,7,22,9,10,0.25,39
heihe,2019-09-17,优,23,34,7,22,7,9,0.28,33
heihe,2019-09-18,优,18,18,7,18,4,3,0.21,39
heihe,2019-09-19,优,27,49,11,30,6,11,0.47,34
heihe,2019-09-20,优,37,108,15,38,9,18,0.44,17
heihe,2019-09-21,优,24,24,8,25,7,13,0.32,29
heihe,2019-09-22,优,29,31,9,29,7,18,0.40,30
heihe,2019-09-23,优,25,11,8,24,6,11,0.38,46
heihe,2019-09-24,优,24,12,7,24,7,9,0.32,46
heihe,2019-09-25,优,32,26,10,36,9,17,0.49,34
heihe,2019-09-26,优,34,23,10,35,6,15,0.42,34
heihe,2019-09-27,优,37,38,9,39,8,16,0.50,65
heihe,2019-09-28,优,46,62,11,49,12,9,0.48,99
heihe,2019-09-29,优,26,20,8,25,6,11,0.25,47
heihe,2019-09-30,优,31,28,11,31,12,20,0.44,26
heihe,2019-10-01,优,37,68,15,41,7,17,0.57,32
heihe,2019-10-02,优,23,28,12,23,7,8,0.37,40
heihe,2019-10-03,优,21,22,9,20,6,8,0.35,45
heihe,2019-10-04,优,24,49,9,23,8,12,0.42,39
heihe,2019-10-05,优,30,163,9,30,9,18,0.46,40
heihe,2019-10-06,优,31,115,7,31,7,12,0.40,59
heihe,2019-10-07,优,34,121,8,35,7,15,0.45,44
heihe,2019-10-08,优,15,7,7,14,6,8,0.42,36
heihe,2019-10-09,优,25,43,8,26,13,14,0.45,37
heihe,2019-10-10,优,17,4,8,17,6,6,0.38,35
heihe,2019-10-11,优,20,10,9,19,6,7,0.36,35
heihe,2019-10-12,优,20,9,9,20,7,10,0.45,29
heihe,2019-10-13,优,20,7,8,19,7,9,0.45,37
heihe,2019-10-14,优,22,26,9,21,7,8,0.46,54
heihe,2019-10-15,优,30,79,9,29,12,14,0.49,49
heihe,2019-10-16,优,36,120,12,41,14,19,0.59,47
heihe,2019-10-17,优,40,106,13,43,13,21,0.53,36
heihe,2019-10-18,优,48,138,12,50,17,26,0.59,39
heihe,2019-10-19,良,56,149,17,66,17,34,0.68,37
heihe,2019-10-20,良,53,95,20,59,10,23,0.72,62
heihe,2019-10-21,优,27,25,12,29,19,7,0.46,47
heihe,2019-10-22,优,34,63,19,40,10,18,0.50,40
heihe,2019-10-23,优,37,83,21,37,7,14,0.55,23
heihe,2019-10-24,优,37,93,22,39,7,14,0.58,30
heihe,2019-10-25,优,17,22,11,16,6,8,0.53,32
heihe,2019-10-26,优,24,57,13,22,12,17,0.58,34
heihe,2019-10-27,优,28,54,16,27,21,15,0.59,35
heihe,2019-10-28,优,34,82,17,34,10,19,0.63,37
heihe,2019-10-29,优,21,8,13,20,6,11,0.52,43
heihe,2019-10-30,优,23,8,13,21,12,15,0.64,29
heihe,2019-10-31,优,25,15,15,24,7,11,0.63,34
heihe,2019-10-31,优,25,15,15,24,7,11,0.63,34
heihe,2019-11-01,优,21,12,9,20,7,8,0.60,45
heihe,2019-11-02,优,31,35,10,31,6,6,0.58,53
heihe,2019-11-03,优,29,34,10,28,6,16,0.83,45
heihe,2019-11-04,优,32,25,14,32,8,19,0.88,26
heihe,2019-11-05,优,26,24,12,26,5,6,0.74,50
heihe,2019-11-06,优,24,18,8,23,6,5,0.66,47
heihe,2019-11-07,优,23,19,9,23,12,7,0.62,48
heihe,2019-11-08,优,25,19,10,25,6,6,0.70,53
heihe,2019-11-09,优,32,26,16,33,17,17,0.95,30
heihe,2019-11-10,优,48,59,21,49,17,24,1.10,16
heihe,2019-11-11,优,36,37,24,37,11,14,0.99,32
heihe,2019-11-12,优,24,20,11,23,7,8,0.83,53
heihe,2019-11-13,优,23,17,11,23,9,8,0.82,47
heihe,2019-11-14,优,24,13,12,23,5,7,0.75,50
heihe,2019-11-15,优,28,23,11,27,5,6,0.67,53
heihe,2019-11-16,优,22,9,12,21,6,6,0.62,54
heihe,2019-11-17,优,32,33,15,33,13,11,0.66,48
heihe,2019-11-18,良,53,135,11,64,6,9,0.67,45
heihe,2019-11-19,优,29,37,14,29,4,6,0.64,64
heihe,2019-11-20,优,39,51,24,40,13,17,0.80,53
heihe,2019-11-21,良,56,125,39,55,22,28,1.05,32
heihe,2019-11-22,优,46,74,29,44,15,25,0.93,31
heihe,2019-11-23,优,36,46,25,32,11,8,0.69,52
heihe,2019-11-24,优,22,15,14,19,6,9,0.64,56
heihe,2019-11-25,优,24,48,15,20,21,12,0.72,45
heihe,2019-11-26,优,32,63,19,28,17,12,0.66,39
heihe,2019-11-27,优,24,32,12,15,8,6,0.57,54
heihe,2019-11-28,优,25,36,13,18,10,12,0.74,52
heihe,2019-11-29,优,30,31,17,25,11,16,0.86,48
heihe,2019-11-30,优,40,79,25,39,16,18,0.74,36
heihe,2019-12-01,优,39,105,23,38,15,17,0.68,37
heihe,2019-12-02,优,35,77,23,29,12,14,0.74,38
heihe,2019-12-03,优,25,15,16,21,8,6,0.62,45
heihe,2019-12-04,优,22,11,14,21,7,5,0.65,52
heihe,2019-12-05,优,24,14,14,22,12,10,0.64,48
heihe,2019-12-06,优,22,10,14,20,18,10,0.65,55
heihe,2019-12-07,优,29,13,20,27,10,13,0.75,48
heihe,2019-12-08,优,43,36,28,40,14,17,0.83,38
heihe,2019-12-09,优,38,23,24,36,12,15,0.75,38
heihe,2019-12-10,优,31,13,21,29,18,16,0.74,41
heihe,2019-12-11,良,63,101,45,54,24,29,1.16,21
heihe,2019-12-12,良,74,179,54,61,28,28,1.17,18
heihe,2019-12-13,良,63,105,45,50,16,25,1.03,19
heihe,2019-12-14,良,53,85,38,40,30,26,1.00,20
heihe,2019-12-15,良,60,144,43,51,20,22,0.86,31
heihe,2019-12-16,良,67,181,48,63,22,27,0.94,28
heihe,2019-12-17,优,24,14,15,22,9,11,0.68,42
heihe,2019-12-18,优,30,45,20,27,15,17,0.76,38
heihe,2019-12-19,优,39,98,26,37,25,23,1.00,31
heihe,2019-12-20,优,49,137,34,44,17,24,0.85,29
heihe,2019-12-21,优,50,132,35,45,21,21,0.97,28
heihe,2019-12-22,良,52,135,36,47,19,22,0.94,25
heihe,2019-12-23,优,28,22,17,25,11,14,0.68,49
heihe,2019-12-24,优,49,106,32,53,17,22,0.54,39
heihe,2019-12-25,优,40,70,26,37,12,21,0.49,38
heihe,2019-12-26,优,43,98,30,43,16,26,0.62,34
heihe,2019-12-27,良,69,191,50,63,22,28,0.58,27
heihe,2019-12-28,良,71,131,51,66,17,28,0.50,23
heihe,2019-12-29,优,35,30,24,25,9,12,0.29,41
heihe,2019-12-30,优,34,29,23,23,8,14,0.34,54
heihe,2019-12-31,优,37,59,25,31,15,16,0.35,50
heihe,2018-01-01,优,34,6,17,30,17,11,0.80,51
heihe,2018-01-02,优,33,15,11,19,10,7,0.70,66
heihe,2018-01-03,优,35,38,12,20,12,8,0.72,66
heihe,2018-01-04,优,37,120,15,26,19,12,0.77,65
heihe,2018-01-05,优,35,51,17,31,19,15,0.93,53
heihe,2018-01-06,优,39,88,18,31,26,13,0.86,58
heihe,2018-01-07,良,75,220,35,100,53,23,1.16,43
heihe,2018-01-08,优,39,65,18,37,14,13,0.83,51
heihe,2018-01-09,优,27,5,13,22,9,4,0.66,53
heihe,2018-01-10,优,40,55,14,29,7,4,0.55,78
heihe,2018-01-11,优,49,112,18,27,23,14,0.78,74
heihe,2018-01-12,良,68,173,43,78,47,30,1.21,39
heihe,2018-01-13,良,60,59,39,67,53,19,1.04,44
heihe,2018-01-14,良,77,110,54,84,44,22,1.17,52
heihe,2018-01-15,优,46,18,30,48,39,16,0.90,49
heihe,2018-01-16,良,86,132,62,107,46,31,1.40,34
heihe,2018-01-17,良,63,40,41,70,41,19,1.13,50
heihe,2018-01-18,良,98,145,71,114,57,30,1.40,44
heihe,2018-01-19,良,76,99,55,89,61,22,1.18,60
heihe,2018-01-20,良,64,94,41,73,22,16,0.93,59
heihe,2018-01-21,优,35,18,15,26,13,7,0.68,59
heihe,2018-01-22,优,35,14,17,29,22,11,0.79,54
heihe,2018-01-23,优,35,14,17,30,17,11,0.74,57
heihe,2018-01-24,优,35,17,14,26,11,7,0.66,65
heihe,2018-01-25,优,36,85,10,24,14,4,0.57,69
heihe,2018-01-26,优,37,68,12,25,11,5,0.63,73
heihe,2018-01-27,优,37,67,12,19,15,5,0.66,72
heihe,2018-01-28,优,37,57,13,24,17,9,0.74,69
heihe,2018-01-29,优,38,45,13,22,17,7,0.70,72
heihe,2018-01-30,优,36,14,15,27,17,9,0.73,68
heihe,2018-01-31,优,44,40,21,36,29,12,0.72,62
heihe,2018-02-01,良,52,28,32,57,31,21,0.93,48
heihe,2018-02-02,优,37,7,19,33,17,13,0.73,55
heihe,2018-02-03,优,38,16,18,33,22,13,0.76,54
heihe,2018-02-04,优,31,3,13,25,11,7,0.63,61
heihe,2018-02-05,优,34,10,13,26,13,9,0.67,59
heihe,2018-02-06,优,41,19,19,39,27,16,0.81,51
heihe,2018-02-07,优,35,2,17,31,26,11,0.77,60
heihe,2018-02-08,良,68,82,46,77,46,17,1.08,68
heihe,2018-02-09,良,62,48,37,71,19,14,0.94,69
heihe,2018-02-10,优,43,15,21,38,24,12,0.71,64
heihe,2018-02-11,优,37,11,12,23,11,7,0.68,71
heihe,2018-02-12,优,38,8,14,27,14,9,0.65,68
heihe,2018-02-13,优,39,9,16,29,19,9,0.67,68
heihe,2018-02-14,优,39,10,16,28,17,9,0.70,70
heihe,2018-02-15,优,49,42,21,47,32,10,0.74,70
heihe,2018-02-16,优,42,7,18,38,16,6,0.64,68
heihe,2018-02-17,优,41,19,15,23,12,5,0.58,77
heihe,2018-02-18,优,42,40,14,25,19,6,0.66,78
heihe,2018-02-19,优,42,55,11,23,10,4,0.67,82
heihe,2018-02-20,优,43,67,15,28,15,7,0.62,76
heihe,2018-02-21,优,47,117,22,47,25,14,0.78,64
heihe,2018-02-22,优,42,100,18,38,18,11,0.70,67
heihe,2018-02-23,优,37,65,18,32,14,10,0.70,64
heihe,2018-02-24,优,38,31,16,31,21,10,0.68,67
heihe,2018-02-25,优,49,75,21,53,23,16,0.83,60
heihe,2018-02-26,优,49,81,26,52,26,16,0.86,63
heihe,2018-02-27,优,46,53,22,44,47,17,0.81,64
heihe,2018-02-28,良,55,126,28,59,32,17,0.98,65
heihe,2018-03-01,优,46,51,16,42,11,8,0.60,83
heihe,2018-03-02,优,48,62,21,39,18,9,0.63,81
heihe,2018-03-03,优,41,25,14,31,9,7,0.56,80
heihe,2018-03-04,优,44,54,13,26,8,4,0.50,88
heihe,2018-03-05,优,43,98,14,25,9,5,0.54,84
heihe,2018-03-06,优,43,103,13,25,8,5,0.47,85
heihe,2018-03-07,优,48,172,23,47,35,15,0.63,72
heihe,2018-03-08,优,43,95,18,39,22,11,0.59,77
heihe,2018-03-09,优,49,69,21,48,39,15,0.71,74
heihe,2018-03-10,优,43,9,18,38,35,13,0.64,77
heihe,2018-03-11,优,47,20,19,39,31,10,0.64,84
heihe,2018-03-12,良,65,101,32,60,27,15,0.74,109
heihe,2018-03-13,良,57,68,33,58,28,18,0.79,88
heihe,2018-03-14,优,50,59,18,35,9,10,0.52,93
heihe,2018-03-15,优,48,68,16,29,14,9,0.53,88
heihe,2018-03-16,优,45,62,19,34,29,11,0.64,82
heihe,2018-03-17,良,52,110,16,36,27,11,0.59,97
heihe,2018-03-18,良,60,190,17,47,11,6,0.51,105
heihe,2018-03-19,优,47,106,13,32,11,7,0.49,91
heihe,2018-03-20,优,50,134,16,34,27,11,0.55,94
heihe,2018-03-21,良,65,216,24,43,28,11,0.54,117
heihe,2018-03-22,良,72,151,48,77,19,17,0.80,98
heihe,2018-03-23,良,68,82,37,62,18,14,0.66,101
heihe,2018-03-24,良,75,141,37,60,20,16,0.68,97
heihe,2018-03-25,良,93,225,63,89,20,19,0.81,85
heihe,2018-03-26,中度污染,186,359,142,222,24,26,1.26,114
heihe,2018-03-27,良,70,132,28,67,8,12,0.57,112
heihe,2018-03-28,良,57,58,17,33,8,7,0.43,106
heihe,2018-03-29,良,53,61,13,23,11,6,0.43,98
heihe,2018-03-30,良,53,53,16,34,9,8,0.47,98
heihe,2018-03-31,良,64,112,38,67,13,14,0.65,79
heihe,2018-04-01,良,75,131,45,81,14,11,0.70,98
heihe,2018-04-02,良,61,48,22,49,6,5,0.54,108
heihe,2018-04-03,良,54,54,11,24,5,4,0.43,102
heihe,2018-04-04,优,49,56,12,27,7,4,0.46,95
heihe,2018-04-05,优,48,75,11,23,7,5,0.48,94
heihe,2018-04-05,优,48,75,11,23,7,5,0.48,94
heihe,2018-04-06,良,87,234,49,69,8,11,0.64,103
heihe,2018-04-07,良,60,96,28,48,8,9,0.57,93
heihe,2018-04-08,优,47,20,19,28,7,8,0.55,93
heihe,2018-04-09,优,49,20,19,31,18,10,0.52,91
heihe,2018-04-10,良,88,203,59,95,12,13,0.70,94
heihe,2018-04-11,良,75,175,50,95,10,17,0.69,87
heihe,2018-04-12,良,85,273,53,78,9,15,0.64,101
heihe,2018-04-13,良,56,198,22,39,8,11,0.53,91
heihe,2018-04-14,优,49,120,20,43,7,11,0.53,90
heihe,2018-04-15,良,53,96,23,42,10,10,0.53,93
heihe,2018-04-16,优,50,39,19,42,19,11,0.58,83
heihe,2018-04-17,良,52,19,21,49,12,15,0.56,85
heihe,2018-04-18,良,53,17,12,37,12,11,0.48,91
heihe,2018-04-19,良,58,43,16,56,11,12,0.49,92
heihe,2018-04-20,良,62,100,33,56,6,10,0.51,102
heihe,2018-04-21,良,52,76,11,34,8,6,0.39,97
heihe,2018-04-22,优,46,110,11,25,8,7,0.43,88
heihe,2018-04-23,良,52,168,17,40,13,9,0.42,92
heihe,2018-04-24,良,54,185,17,43,13,11,0.42,97
heihe,2018-04-25,良,96,331,54,107,13,12,0.58,107
